row_index,country,gold,initial,final,cluster
0,egypt,yes,yes,yes,1
1,egypt,yes,yes,yes,1
2,egypt,yes,yes,yes,1
3,egypt,yes,yes,yes,1
4,egypt,yes,yes,yes,3
5,egypt,yes,yes,yes,3
6,egypt,yes,yes,yes,1
7,egypt,yes,yes,yes,0
8,egypt,yes,yes,yes,2
9,egypt,yes,yes,yes,1
10,egypt,yes,yes,yes,3
11,egypt,yes,yes,yes,2
12,lebanon,yes,yes,yes,3
13,lebanon,yes,yes,yes,3
14,lebanon,yes,yes,yes,1
15,lebanon,yes,yes,yes,1
16,lebanon,yes,yes,yes,0
17,lebanon,yes,yes,yes,3
18,lebanon,yes,yes,yes,2
19,lebanon,yes,yes,yes,3
20,lebanon,yes,yes,yes,1
21,zimbabwe,yes,yes,yes,3
22,zimbabwe,yes,yes,yes,1
23,zimbabwe,yes,yes,yes,0
24,zimbabwe,yes,yes,yes,3
25,zimbabwe,yes,yes,yes,1
26,zimbabwe,yes,yes,yes,2
27,zimbabwe,yes,yes,yes,1
28,zimbabwe,yes,yes,yes,3
29,zimbabwe,yes,yes,yes,1
30,zimbabwe,yes,yes,yes,2
31,zimbabwe,yes,yes,yes,2
32,zimbabwe,yes,yes,yes,2
33,philippines,yes,yes,yes,1
34,philippines,yes,yes,yes,1
35,philippines,yes,yes,yes,3
36,philippines,yes,yes,yes,2
37,philippines,yes,yes,yes,3
38,philippines,yes,yes,yes,3
39,philippines,yes,yes,yes,3
40,philippines,yes,yes,yes,3
41,philippines,yes,yes,yes,2
42,philippines,yes,yes,yes,2
43,philippines,yes,yes,yes,2
44,philippines,yes,yes,yes,2
45,sudan,yes,yes,yes,1
46,sudan,yes,yes,yes,3
47,sudan,yes,yes,yes,3
48,sudan,yes,neutral,neutral,2
49,sudan,yes,neutral,no,2
50,sudan,yes,yes,yes,1
51,sudan,yes,yes,yes,1
52,sudan,yes,yes,yes,3
53,sudan,yes,yes,yes,3
54,sudan,yes,yes,yes,3
55,sudan,yes,yes,yes,3
56,sudan,yes,yes,yes,0
57,sudan,yes,yes,yes,3
58,sudan,yes,yes,yes,2
59,sudan,yes,yes,yes,3
60,spain,yes,yes,yes,0
61,spain,yes,yes,yes,1
62,spain,yes,yes,yes,2
63,spain,yes,yes,yes,2
64,spain,yes,yes,yes,2
65,spain,yes,yes,yes,0
66,spain,yes,yes,yes,3
67,spain,yes,yes,yes,0
68,spain,yes,yes,yes,0
69,spain,yes,neutral,no,1
70,spain,yes,yes,yes,0
71,spain,yes,yes,yes,1
72,tonga,yes,yes,yes,3
73,tonga,yes,yes,yes,3
74,tonga,yes,yes,yes,3
75,tonga,yes,yes,yes,1
76,tonga,yes,yes,yes,1
77,tonga,yes,yes,yes,1
78,tonga,yes,yes,yes,1
79,tonga,yes,yes,yes,3
80,tonga,yes,yes,yes,2
81,tonga,yes,yes,yes,2
82,tonga,yes,yes,yes,3
83,tonga,yes,yes,yes,2
84,hong_kong,yes,yes,yes,3
