row_index,country,gold,initial,final,cluster
0,egypt,yes,yes,yes,2
1,egypt,yes,yes,yes,1
2,egypt,yes,yes,yes,2
3,egypt,yes,yes,yes,1
4,egypt,yes,yes,yes,1
5,egypt,yes,yes,yes,2
6,egypt,yes,yes,yes,2
7,egypt,yes,yes,yes,3
8,egypt,yes,yes,yes,3
9,egypt,yes,yes,yes,2
10,egypt,yes,yes,yes,2
11,egypt,yes,yes,yes,2
12,lebanon,yes,yes,yes,2
13,lebanon,yes,yes,yes,2
14,lebanon,yes,yes,yes,2
15,lebanon,yes,yes,yes,2
16,lebanon,yes,yes,yes,3
17,lebanon,yes,yes,yes,2
18,lebanon,yes,yes,yes,2
19,lebanon,yes,yes,yes,2
20,lebanon,yes,yes,yes,2
21,zimbabwe,yes,yes,yes,2
22,zimbabwe,yes,yes,yes,2
23,zimbabwe,yes,yes,yes,0
24,zimbabwe,yes,yes,yes,3
25,zimbabwe,yes,yes,yes,1
26,zimbabwe,yes,yes,yes,2
27,zimbabwe,yes,yes,yes,2
28,zimbabwe,yes,yes,yes,2
29,zimbabwe,yes,yes,yes,1
30,zimbabwe,yes,yes,yes,3
31,zimbabwe,yes,yes,yes,3
32,zimbabwe,yes,yes,yes,3
33,philippines,yes,neutral,neutral,1
34,philippines,yes,yes,yes,1
35,philippines,yes,yes,yes,2
36,philippines,yes,yes,yes,2
37,philippines,yes,yes,yes,3
38,philippines,yes,yes,yes,2
39,philippines,yes,yes,yes,2
40,philippines,yes,yes,yes,3
41,philippines,yes,yes,yes,3
42,philippines,yes,yes,yes,3
43,philippines,yes,yes,yes,1
44,philippines,yes,yes,yes,3
45,sudan,yes,yes,yes,2
46,sudan,yes,yes,yes,2
47,sudan,yes,yes,yes,2
48,sudan,yes,yes,yes,3
49,sudan,yes,yes,yes,3
50,sudan,yes,yes,yes,1
51,sudan,yes,yes,yes,2
52,sudan,yes,yes,yes,2
53,sudan,yes,yes,yes,2
54,sudan,yes,yes,yes,2
55,sudan,yes,yes,yes,2
56,sudan,yes,yes,yes,0
57,sudan,yes,yes,yes,3
58,sudan,yes,yes,yes,1
59,sudan,yes,yes,yes,1
60,spain,yes,yes,yes,0
61,spain,yes,yes,yes,2
62,spain,yes,yes,yes,3
63,spain,yes,yes,yes,1
64,spain,yes,yes,yes,2
65,spain,yes,yes,yes,0
66,spain,yes,yes,yes,2
67,spain,yes,yes,yes,3
68,spain,yes,yes,yes,0
69,spain,yes,yes,yes,2
70,spain,yes,yes,yes,0
71,spain,yes,yes,yes,2
72,tonga,yes,yes,yes,2
73,tonga,yes,yes,yes,3
74,tonga,yes,yes,yes,1
75,tonga,yes,yes,yes,2
76,tonga,yes,yes,yes,2
77,tonga,yes,yes,yes,1
78,tonga,yes,yes,yes,1
79,tonga,yes,yes,yes,2
80,tonga,yes,yes,yes,3
81,tonga,yes,yes,yes,3
82,tonga,yes,yes,yes,2
83,tonga,yes,yes,yes,3
84,hong_kong,yes,yes,yes,2
85,hong_kong,yes,yes,yes,2
86,hong_kong,yes,yes,yes,2
87,hong_kong,yes,yes,yes,1
88,hong_kong,yes,yes,yes,0
89,hong_kong,yes,yes,yes,3
90,hong_kong,yes,yes,yes,1
91,hong_kong,yes,yes,yes,1
92,hong_kong,yes,yes,yes,1
93,hong_kong,yes,yes,yes,0
94,hong_kong,yes,yes,yes,2
95,hong_kong,yes,no,no,3
96,colombia,yes,yes,yes,1
97,colombia,yes,yes,yes,2
98,colombia,yes,yes,yes,2
99,colombia,yes,yes,yes,2
100,colombia,yes,yes,yes,3
101,colombia,yes,yes,yes,3
102,colombia,yes,yes,yes,1
103,colombia,yes,yes,yes,2
104,colombia,yes,yes,yes,2
105,colombia,yes,yes,yes,3
106,colombia,yes,yes,yes,3
107,colombia,yes,yes,yes,3
108,vietnam,yes,yes,yes,2
109,vietnam,yes,yes,yes,2
110,vietnam,yes,yes,yes,2
111,vietnam,yes,yes,yes,2
112,vietnam,yes,yes,yes,2
113,vietnam,yes,yes,yes,2
114,vietnam,yes,yes,yes,2
115,vietnam,yes,yes,yes,2
116,vietnam,yes,yes,yes,3
117,vietnam,yes,yes,yes,2
118,vietnam,yes,yes,yes,2
119,vietnam,yes,yes,yes,3
