row_index,country,gold,initial,final,cluster
0,egypt,yes,yes,yes,3
1,egypt,yes,no,yes,3
2,egypt,yes,yes,yes,3
3,egypt,yes,yes,yes,3
4,egypt,yes,yes,yes,3
5,egypt,yes,yes,yes,3
6,egypt,yes,no,yes,1
7,egypt,yes,yes,yes,0
8,egypt,yes,yes,yes,3
9,egypt,yes,yes,yes,3
10,egypt,yes,yes,yes,3
11,egypt,yes,no,yes,0
12,lebanon,yes,yes,yes,3
13,lebanon,yes,yes,yes,3
14,lebanon,yes,yes,yes,3
15,lebanon,yes,yes,yes,1
16,lebanon,yes,yes,yes,0
17,lebanon,yes,yes,yes,3
18,lebanon,yes,yes,yes,1
19,lebanon,yes,yes,yes,1
20,lebanon,yes,yes,yes,3
21,zimbabwe,yes,yes,yes,3
22,zimbabwe,yes,yes,yes,3
23,zimbabwe,yes,yes,yes,0
24,zimbabwe,yes,yes,yes,1
25,zimbabwe,yes,yes,yes,3
26,zimbabwe,yes,yes,yes,3
27,zimbabwe,yes,yes,yes,3
28,zimbabwe,yes,yes,yes,1
29,zimbabwe,yes,yes,yes,3
30,zimbabwe,yes,yes,yes,3
31,zimbabwe,yes,yes,yes,3
32,zimbabwe,yes,yes,yes,1
33,philippines,yes,no,yes,2
34,philippines,yes,yes,yes,3
35,philippines,yes,yes,yes,3
36,philippines,yes,yes,yes,3
37,philippines,yes,yes,yes,1
38,philippines,yes,yes,yes,3
39,philippines,yes,yes,yes,1
40,philippines,yes,yes,yes,3
41,philippines,yes,yes,yes,3
42,philippines,yes,no,yes,2
43,philippines,yes,yes,yes,3
44,philippines,yes,yes,yes,3
45,sudan,yes,yes,yes,3
46,sudan,yes,yes,yes,3
47,sudan,yes,yes,yes,1
48,sudan,yes,no,yes,3
49,sudan,yes,no,yes,2
50,sudan,yes,no,yes,1
51,sudan,yes,no,yes,1
52,sudan,yes,no,yes,1
53,sudan,yes,yes,yes,2
54,sudan,yes,yes,yes,3
55,sudan,yes,no,yes,2
56,sudan,yes,yes,yes,0
57,sudan,yes,yes,yes,1
58,sudan,yes,yes,yes,1
59,sudan,yes,yes,yes,1
60,spain,yes,yes,yes,0
61,spain,yes,yes,yes,3
62,spain,yes,yes,yes,0
63,spain,yes,yes,yes,3
64,spain,yes,yes,yes,2
65,spain,yes,yes,yes,0
66,spain,yes,yes,yes,3
67,spain,yes,yes,yes,0
68,spain,yes,yes,yes,0
69,spain,yes,yes,yes,3
70,spain,yes,yes,yes,0
71,spain,yes,yes,yes,3
72,tonga,yes,yes,yes,2
73,tonga,yes,no,yes,1
74,tonga,yes,no,yes,2
75,tonga,yes,yes,yes,3
76,tonga,yes,no,yes,2
77,tonga,yes,yes,yes,3
78,tonga,yes,no,yes,1
79,tonga,yes,yes,yes,3
80,tonga,yes,no,yes,2
81,tonga,yes,no,yes,0
82,tonga,yes,yes,yes,3
83,tonga,yes,yes,yes,3
84,hong_kong,yes,yes,yes,3
85,hong_kong,yes,yes,yes,1
86,hong_kong,yes,yes,yes,3
87,hong_kong,yes,yes,yes,3
88,hong_kong,yes,yes,yes,0
89,hong_kong,yes,no,yes,0
90,hong_kong,yes,yes,yes,3
91,hong_kong,yes,yes,yes,3
92,hong_kong,yes,yes,yes,3
93,hong_kong,yes,no,yes,0
94,hong_kong,yes,yes,yes,3
95,hong_kong,yes,yes,yes,0
96,colombia,yes,yes,yes,3
97,colombia,yes,yes,yes,3
98,colombia,yes,yes,yes,1
99,colombia,yes,yes,yes,3
100,colombia,yes,yes,yes,3
101,colombia,yes,no,yes,1
102,colombia,yes,yes,yes,1
103,colombia,yes,no,yes,3
104,colombia,yes,yes,yes,3
105,colombia,yes,yes,yes,1
106,colombia,yes,yes,yes,0
107,colombia,yes,yes,yes,3
108,vietnam,yes,yes,yes,1
109,vietnam,yes,yes,yes,3
110,vietnam,yes,yes,yes,3
111,vietnam,yes,yes,yes,3
112,vietnam,yes,yes,yes,3
113,vietnam,yes,no,yes,1
114,vietnam,yes,yes,yes,3
115,vietnam,yes,yes,yes,1
116,vietnam,yes,yes,yes,3
117,vietnam,yes,yes,yes,3
118,vietnam,yes,yes,yes,2
119,vietnam,yes,yes,yes,1
120,north_macedonia,yes,no,yes,2
121,north_macedonia,yes,yes,yes,3
122,north_macedonia,yes,yes,yes,3
123,north_macedonia,yes,yes,yes,3
124,north_macedonia,yes,yes,yes,3
125,north_macedonia,yes,yes,yes,0
126,north_macedonia,yes,yes,yes,1
127,north_macedonia,yes,yes,yes,3
128,north_macedonia,yes,yes,yes,1
129,north_macedonia,yes,yes,yes,3
