row_index,country,gold,initial,final,cluster
0,egypt,yes,yes,yes,1
1,egypt,yes,yes,yes,1
2,egypt,yes,yes,yes,1
3,egypt,yes,yes,yes,1
4,egypt,yes,yes,yes,1
5,egypt,yes,yes,yes,1
6,egypt,yes,yes,yes,1
7,egypt,yes,yes,yes,2
8,egypt,yes,yes,yes,2
9,egypt,yes,yes,yes,1
10,egypt,yes,yes,yes,1
11,egypt,yes,yes,yes,2
12,lebanon,yes,yes,yes,1
13,lebanon,yes,yes,no,1
14,lebanon,yes,yes,yes,1
15,lebanon,yes,yes,yes,2
16,lebanon,yes,yes,yes,2
17,lebanon,yes,yes,yes,1
18,lebanon,yes,yes,yes,2
19,lebanon,yes,yes,yes,1
20,lebanon,yes,yes,yes,1
21,zimbabwe,yes,yes,yes,2
22,zimbabwe,yes,yes,yes,1
23,zimbabwe,yes,yes,yes,2
24,zimbabwe,yes,yes,yes,2
25,zimbabwe,yes,yes,yes,1
26,zimbabwe,yes,yes,yes,2
27,zimbabwe,yes,yes,yes,1
28,zimbabwe,yes,yes,yes,1
29,zimbabwe,yes,yes,yes,1
30,zimbabwe,yes,yes,yes,0
31,zimbabwe,yes,yes,yes,0
32,zimbabwe,yes,yes,yes,2
33,philippines,yes,yes,no,1
34,philippines,yes,yes,yes,1
35,philippines,yes,yes,yes,1
36,philippines,yes,yes,yes,2
37,philippines,yes,yes,yes,2
38,philippines,yes,yes,yes,1
39,philippines,yes,yes,yes,1
40,philippines,yes,yes,yes,2
41,philippines,yes,yes,yes,2
42,philippines,yes,yes,yes,2
43,philippines,yes,yes,yes,3
44,philippines,yes,yes,yes,2
45,sudan,yes,yes,neutral,1
46,sudan,yes,yes,yes,1
47,sudan,yes,yes,yes,1
48,sudan,yes,yes,yes,2
49,sudan,yes,yes,yes,2
50,sudan,yes,yes,yes,1
51,sudan,yes,yes,yes,1
52,sudan,yes,yes,yes,1
53,sudan,yes,yes,yes,1
54,sudan,yes,yes,yes,2
55,sudan,yes,yes,yes,2
56,sudan,yes,yes,yes,0
57,sudan,yes,yes,yes,2
58,sudan,yes,yes,yes,2
59,sudan,yes,yes,yes,2
60,spain,yes,yes,yes,0
61,spain,yes,yes,yes,1
62,spain,yes,yes,yes,2
63,spain,yes,yes,yes,2
64,spain,yes,yes,yes,2
65,spain,yes,yes,yes,0
66,spain,yes,yes,yes,1
67,spain,yes,yes,yes,2
68,spain,yes,yes,yes,0
69,spain,yes,yes,no,3
70,spain,yes,yes,yes,2
71,spain,yes,yes,yes,1
72,tonga,yes,yes,yes,1
73,tonga,yes,yes,yes,2
74,tonga,yes,yes,yes,2
75,tonga,yes,yes,yes,1
76,tonga,yes,yes,yes,1
77,tonga,yes,yes,yes,1
78,tonga,yes,yes,yes,1
79,tonga,yes,yes,yes,2
80,tonga,yes,yes,yes,2
81,tonga,yes,yes,yes,2
82,tonga,yes,yes,yes,1
83,tonga,yes,yes,yes,2
84,hong_kong,yes,yes,yes,1
