run,source_file,row_index,scenario_id,country,gold,model,field,pred,correct,valid_pred,story_words,rot_words,has_debate_turns
qwen7_qwen15,results\multi\open_qwen7_qwen15_full.jsonl,0,924d92a7a4e411d6,egypt,yes,qwen7,qwen7_final,yes,1,1,27,12,1
qwen7_qwen15,results\multi\open_qwen7_qwen15_full.jsonl,0,924d92a7a4e411d6,egypt,yes,qwen15,qwen15_final,yes,1,1,27,12,1
qwen7_qwen15,results\multi\open_qwen7_qwen15_full.jsonl,1,0986a2cfcce4e89f,egypt,yes,qwen7,qwen7_final,yes,1,1,33,16,1
qwen7_qwen15,results\multi\open_qwen7_qwen15_full.jsonl,1,0986a2cfcce4e89f,egypt,yes,qwen15,qwen15_final,yes,1,1,33,16,1
qwen7_qwen15,results\multi\open_qwen7_qwen15_full.jsonl,2,40246d750e63d08e,egypt,yes,qwen7,qwen7_final,yes,1,1,32,13,1
qwen7_qwen15,results\multi\open_qwen7_qwen15_full.jsonl,2,40246d750e63d08e,egypt,yes,qwen15,qwen15_final,yes,1,1,32,13,1
qwen7_qwen15,results\multi\open_qwen7_qwen15_full.jsonl,3,702b501fa0981103,egypt,yes,qwen7,qwen7_final,yes,1,1,33,11,1
qwen7_qwen15,results\multi\open_qwen7_qwen15_full.jsonl,3,702b501fa0981103,egypt,yes,qwen15,qwen15_final,yes,1,1,33,11,1
qwen7_qwen15,results\multi\open_qwen7_qwen15_full.jsonl,4,c39eb36a95c6fa36,egypt,yes,qwen7,qwen7_final,yes,1,1,29,12,1
qwen7_qwen15,results\multi\open_qwen7_qwen15_full.jsonl,4,c39eb36a95c6fa36,egypt,yes,qwen15,qwen15_final,yes,1,1,29,12,1
qwen7_qwen15,results\multi\open_qwen7_qwen15_full.jsonl,5,0787a4c84a5252b4,egypt,yes,qwen7,qwen7_final,yes,1,1,31,16,1
qwen7_qwen15,results\multi\open_qwen7_qwen15_full.jsonl,5,0787a4c84a5252b4,egypt,yes,qwen15,qwen15_final,yes,1,1,31,16,1
qwen7_qwen15,results\multi\open_qwen7_qwen15_full.jsonl,6,82c2c4ffa14a0d32,egypt,yes,qwen7,qwen7_final,yes,1,1,29,21,1
qwen7_qwen15,results\multi\open_qwen7_qwen15_full.jsonl,6,82c2c4ffa14a0d32,egypt,yes,qwen15,qwen15_final,yes,1,1,29,21,1
qwen7_qwen15,results\multi\open_qwen7_qwen15_full.jsonl,7,cd7abb23969444db,egypt,yes,qwen7,qwen7_final,yes,1,1,47,17,1
qwen7_qwen15,results\multi\open_qwen7_qwen15_full.jsonl,7,cd7abb23969444db,egypt,yes,qwen15,qwen15_final,yes,1,1,47,17,1
qwen7_qwen15,results\multi\open_qwen7_qwen15_full.jsonl,8,e83b489146ad5b94,egypt,yes,qwen7,qwen7_final,yes,1,1,45,22,1
qwen7_qwen15,results\multi\open_qwen7_qwen15_full.jsonl,8,e83b489146ad5b94,egypt,yes,qwen15,qwen15_final,yes,1,1,45,22,1
qwen7_qwen15,results\multi\open_qwen7_qwen15_full.jsonl,9,f924d0fbb542ed17,egypt,yes,qwen7,qwen7_final,yes,1,1,25,18,1
qwen7_qwen15,results\multi\open_qwen7_qwen15_full.jsonl,9,f924d0fbb542ed17,egypt,yes,qwen15,qwen15_final,yes,1,1,25,18,1
qwen7_qwen15,results\multi\open_qwen7_qwen15_full.jsonl,10,f36ba2645a213405,egypt,yes,qwen7,qwen7_final,yes,1,1,26,19,1
