feature,importance
gold=neutral,0.21133891205777675
pred=neutral,0.16518870747050923
gold=yes,0.15368253459207115
gold=no,0.12099068714447309
pred=yes,0.10509083513238222
pred=no,0.09974650963890992
has_debate_turns,0.021759438887551576
model=qwen7,0.018279874125381807
run=qwen7_gemma4,0.014239745994782622
model=qwen15,0.013619212184448157
run=single_gemma4,0.010081005245597949
story_words,0.007296724330771399
run=qwen7_ollama_llama3_8b,0.006659117893967924
model=gemma4,0.006593851986779182
run=single_ollama_llama3_8b,0.006464540945610875
rot_words,0.005422278652765407
run=qwen7_qwen15,0.004701981110933798
model=ollama_llama3_8b,0.003954107486079261
model=qwen,0.0036283708784688755
run=single_qwen7,0.0033260969700154375
country=north_macedonia,0.000651947374840391
country=brazil,0.0005642691616169251
country=palestinian_territories,0.0004342375733207934
country=afghanistan,0.0004203377208204818
country=portugal,0.000389491431494764
country=sudan,0.00036669873971911196
country=myanmar,0.0003619945591822567
country=united_states_of_america,0.0003602368564832521
country=somalia,0.00035419452835785834
country=chile,0.00033974919304239346
country=germany,0.0003359960765397521
country=india,0.0003234409618485984
country=hungary,0.00031718408396300065
country=tonga,0.00031109871362912833
country=timor-leste,0.0003067629600022988
country=sweden,0.00030671463963506825
country=malta,0.00030086137841046575
country=new_zealand,0.00028270626748405425
country=romania,0.0002811857336346981
country=pakistan,0.0002805642663014346
country=kenya,0.0002710866044109083
country=japan,0.0002698136132955197
country=argentina,0.0002692380167764047
country=samoa,0.00026618757556091667
country=mauritius,0.0002568197374213162
country=croatia,0.0002528643541099879
country=iran,0.000251145046241279
country=russia,0.0002460257104374495
country=greece,0.0002454017390445921
country=vietnam,0.0002425973124478732
country=israel,0.00024110763797343
country=spain,0.0002287177430576665
country=laos,0.00022593805180569427
country=iraq,0.00022577570485381832
country=netherlands,0.00022070998873152515
country=thailand,0.00021886936667216318
country=cyprus,0.00021833054088724133
country=bangladesh,0.00021814055078983775
country=ireland,0.00021208658146735007
country=hong_kong,0.00021144650926442458
country=south_sudan,0.00021120419216008693
country=philippines,0.0002108992439148409
country=united_kingdom,0.00020913878283610807
country=bosnia_and_herzegovina,0.00020438235289688662
country=canada,0.00020082067566380279
country=italy,0.00019418449919556005
country=ukraine,0.00019323267570108712
country=singapore,0.00019298073552835227
country=zimbabwe,0.000192872881330259
country=australia,0.00018920383275503
country=china,0.00018441934082446393
country=syria,0.0001807057976725191
country=fiji,0.00017956608243005395
country=lebanon,0.00017758521465516117
country=venezuela,0.0001741646856207469
country=ethiopia,0.00017325296175831094
country=cambodia,0.00017041596111086807
country=sri_lanka,0.00017022961546580957
country=serbia,0.00016995329587650405
country=colombia,0.00016472683076456185
country=saudi_arabia,0.0001628026547381729
country=egypt,0.0001572229160477762
country=taiwan,0.00015585493841607366
country=mexico,0.00015454402884041845
country=france,0.00015317597486864091
country=nepal,0.0001528416819958473
country=indonesia,0.00014787012800991076
country=south_africa,0.00014639531935507047
country=poland,0.00014281642565679994
country=papua_new_guinea,0.00013882745356947994
country=south_korea,0.00013803223292178902
country=austria,0.00013058077676913527
country=türkiye,0.00012317216209582147
country=peru,0.00010496709134681352
country=malaysia,0.0001004492223545724
