row_index,country,gold,initial,final,cluster
0,egypt,yes,yes,no,1
1,egypt,yes,neutral,no,1
2,egypt,yes,yes,no,1
3,egypt,yes,yes,no,2
4,egypt,yes,yes,no,1
5,egypt,yes,yes,no,1
6,egypt,yes,neutral,no,3
7,egypt,yes,yes,no,1
8,egypt,yes,yes,no,1
9,egypt,yes,yes,no,1
10,egypt,yes,yes,no,1
11,egypt,yes,yes,no,2
12,lebanon,yes,yes,no,1
13,lebanon,yes,yes,no,1
14,lebanon,yes,yes,no,1
15,lebanon,yes,yes,no,1
16,lebanon,yes,yes,no,0
17,lebanon,yes,yes,no,1
18,lebanon,yes,yes,no,1
19,lebanon,yes,yes,no,1
20,lebanon,yes,yes,no,1
21,zimbabwe,yes,yes,no,1
22,zimbabwe,yes,yes,no,1
23,zimbabwe,yes,yes,no,0
24,zimbabwe,yes,yes,no,1
25,zimbabwe,yes,yes,no,1
26,zimbabwe,yes,yes,no,1
27,zimbabwe,yes,yes,no,1
28,zimbabwe,yes,yes,no,1
29,zimbabwe,yes,yes,no,1
30,zimbabwe,yes,yes,no,1
31,zimbabwe,yes,yes,no,1
32,zimbabwe,yes,yes,no,1
33,philippines,yes,no,no,3
34,philippines,yes,yes,no,1
35,philippines,yes,yes,no,1
36,philippines,yes,yes,no,1
37,philippines,yes,yes,no,3
38,philippines,yes,yes,no,1
39,philippines,yes,yes,no,1
40,philippines,yes,yes,no,1
41,philippines,yes,yes,no,1
42,philippines,yes,neutral,no,3
43,philippines,yes,yes,no,1
44,philippines,yes,yes,no,1
45,sudan,yes,yes,no,1
46,sudan,yes,yes,no,1
47,sudan,yes,yes,no,1
48,sudan,yes,neutral,no,2
49,sudan,yes,no,no,3
50,sudan,yes,neutral,no,2
51,sudan,yes,no,no,2
52,sudan,yes,yes,no,1
53,sudan,yes,neutral,no,3
54,sudan,yes,yes,no,2
55,sudan,yes,neutral,no,3
56,sudan,yes,yes,no,0
57,sudan,yes,yes,no,1
58,sudan,yes,neutral,no,1
59,sudan,yes,neutral,no,2
60,spain,yes,yes,no,0
61,spain,yes,yes,no,1
62,spain,yes,yes,no,0
63,spain,yes,yes,no,1
64,spain,yes,yes,no,1
65,spain,yes,yes,no,0
66,spain,yes,yes,no,1
67,spain,yes,yes,no,0
68,spain,yes,yes,no,0
69,spain,yes,yes,no,1
70,spain,yes,yes,no,0
71,spain,yes,yes,no,1
72,tonga,yes,neutral,no,3
73,tonga,yes,neutral,no,3
74,tonga,yes,neutral,no,3
75,tonga,yes,yes,no,1
76,tonga,yes,neutral,no,3
77,tonga,yes,yes,no,1
78,tonga,yes,neutral,no,3
79,tonga,yes,yes,no,1
80,tonga,yes,neutral,no,3
81,tonga,yes,neutral,no,0
82,tonga,yes,yes,no,1
83,tonga,yes,yes,no,1
84,hong_kong,yes,yes,no,1
85,hong_kong,yes,yes,no,1
86,hong_kong,yes,yes,no,2
87,hong_kong,yes,yes,no,1
88,hong_kong,yes,yes,no,0
89,hong_kong,yes,neutral,no,3
90,hong_kong,yes,yes,no,1
91,hong_kong,yes,yes,no,1
92,hong_kong,yes,yes,no,1
93,hong_kong,yes,neutral,no,0
94,hong_kong,yes,yes,no,1
95,hong_kong,yes,no,no,0
96,colombia,yes,yes,no,1
97,colombia,yes,yes,no,1
98,colombia,yes,yes,no,1
99,colombia,yes,yes,no,1
100,colombia,yes,yes,no,1
101,colombia,yes,no,no,2
102,colombia,yes,yes,no,1
103,colombia,yes,neutral,no,2
104,colombia,yes,yes,no,2
105,colombia,yes,yes,no,1
106,colombia,yes,yes,no,0
107,colombia,yes,yes,no,1
108,vietnam,yes,yes,no,1
109,vietnam,yes,yes,no,1
110,vietnam,yes,yes,no,1
111,vietnam,yes,yes,no,1
112,vietnam,yes,yes,no,2
113,vietnam,yes,neutral,no,2
114,vietnam,yes,yes,no,1
115,vietnam,yes,neutral,no,2
116,vietnam,yes,yes,no,1
117,vietnam,yes,yes,no,1
118,vietnam,yes,yes,no,1
119,vietnam,yes,neutral,no,3
120,north_macedonia,yes,neutral,no,3
121,north_macedonia,yes,neutral,no,2
122,north_macedonia,yes,yes,no,1
123,north_macedonia,yes,yes,no,1
124,north_macedonia,yes,yes,no,2
125,north_macedonia,yes,yes,no,0
126,north_macedonia,yes,yes,no,1
127,north_macedonia,yes,yes,no,1
128,north_macedonia,yes,yes,no,1
129,north_macedonia,yes,yes,no,1
130,north_macedonia,yes,neutral,no,2
131,italy,yes,yes,no,1
132,italy,yes,yes,no,1
133,italy,yes,yes,no,1
134,italy,yes,yes,no,1
135,italy,yes,yes,no,2
136,italy,yes,yes,no,1
137,italy,yes,yes,no,1
138,italy,yes,yes,no,2
139,italy,yes,yes,no,1
140,italy,yes,yes,no,2
141,italy,yes,yes,no,3
142,italy,yes,yes,no,1
143,canada,yes,neutral,no,3
144,canada,yes,yes,no,1
145,canada,yes,yes,no,2
146,canada,yes,yes,no,1
147,canada,yes,neutral,no,3
148,canada,yes,neutral,no,3
149,canada,yes,yes,no,1
150,canada,yes,yes,no,1
151,canada,yes,yes,no,1
152,canada,yes,neutral,no,3
153,canada,yes,yes,no,1
154,canada,yes,yes,no,1
155,iraq,yes,yes,no,0
156,iraq,yes,yes,no,1
157,iraq,yes,neutral,no,3
158,iraq,yes,yes,no,0
159,iraq,yes,neutral,no,2
160,iraq,yes,yes,no,1
161,iraq,yes,neutral,no,3
162,iraq,yes,neutral,no,2
163,iraq,yes,neutral,no,2
164,iraq,yes,neutral,no,2
165,iraq,yes,yes,no,2
166,iraq,yes,no,no,3
167,united_kingdom,yes,yes,no,1
168,united_kingdom,yes,yes,no,1
169,united_kingdom,yes,yes,no,1
170,united_kingdom,yes,yes,no,1
171,united_kingdom,no,no,no,2
172,united_kingdom,yes,yes,no,0
173,united_kingdom,yes,yes,no,1
174,united_kingdom,yes,yes,no,1
175,united_kingdom,yes,yes,yes,2
176,singapore,yes,yes,no,2
177,singapore,yes,neutral,no,3
178,singapore,yes,yes,no,1
179,singapore,yes,yes,no,3
180,singapore,yes,yes,no,1
181,singapore,yes,yes,no,0
182,singapore,yes,yes,no,1
183,singapore,yes,yes,no,1
184,singapore,yes,yes,no,1
185,singapore,yes,yes,no,1
186,singapore,yes,neutral,no,2
187,singapore,yes,yes,no,1
188,timor-leste,no,neutral,no,2
189,timor-leste,yes,neutral,no,0
190,timor-leste,yes,neutral,no,2
191,timor-leste,yes,neutral,no,3
192,timor-leste,yes,yes,no,2
193,timor-leste,yes,yes,no,1
194,timor-leste,yes,yes,no,1
195,timor-leste,yes,yes,no,3
196,timor-leste,yes,neutral,no,2
197,timor-leste,yes,yes,no,1
198,timor-leste,yes,yes,no,1
199,timor-leste,yes,yes,no,1
200,poland,yes,yes,no,1
201,poland,yes,yes,no,1
202,poland,yes,yes,no,1
203,poland,yes,yes,no,1
204,poland,yes,yes,no,1
205,poland,yes,yes,no,1
206,poland,yes,yes,no,1
207,poland,yes,yes,no,0
208,poland,yes,yes,no,1
209,poland,yes,neutral,no,0
210,poland,yes,neutral,no,2
211,poland,yes,no,no,2
212,pakistan,yes,neutral,no,2
213,pakistan,yes,no,no,3
214,pakistan,yes,no,no,3
215,pakistan,yes,yes,no,1
216,pakistan,yes,yes,no,1
217,pakistan,yes,yes,no,1
218,pakistan,yes,yes,no,2
219,pakistan,yes,neutral,no,1
220,pakistan,yes,yes,no,2
221,pakistan,yes,yes,no,1
222,pakistan,yes,yes,no,1
223,pakistan,yes,yes,no,1
224,mexico,yes,yes,no,1
225,mexico,yes,yes,no,1
226,mexico,yes,yes,no,1
227,mexico,yes,yes,no,1
228,mexico,yes,yes,no,1
229,mexico,yes,neutral,no,3
230,mexico,yes,neutral,no,0
231,mexico,yes,yes,no,2
232,mexico,yes,yes,no,0
233,mexico,yes,neutral,no,3
234,mexico,yes,yes,no,1
235,mexico,yes,yes,no,1
236,argentina,yes,yes,no,1
237,argentina,yes,yes,no,1
238,argentina,yes,yes,no,1
239,argentina,yes,yes,no,1
240,argentina,yes,yes,no,1
241,argentina,yes,yes,no,1
242,argentina,yes,yes,no,1
243,argentina,yes,yes,no,1
244,argentina,yes,yes,no,1
245,argentina,yes,yes,no,1
246,argentina,yes,yes,no,1
247,argentina,yes,neutral,no,3
248,taiwan,yes,yes,no,1
249,taiwan,yes,yes,no,1
250,taiwan,yes,yes,no,1
251,taiwan,yes,yes,no,0
252,taiwan,yes,yes,no,1
253,taiwan,yes,yes,no,1
254,taiwan,yes,yes,no,1
255,taiwan,yes,yes,no,1
256,taiwan,yes,yes,no,1
257,taiwan,yes,yes,no,0
258,taiwan,yes,yes,no,1
259,taiwan,yes,yes,no,0
260,somalia,yes,yes,no,1
261,somalia,yes,yes,no,1
262,somalia,yes,neutral,no,3
263,somalia,yes,neutral,no,3
264,somalia,yes,neutral,no,0
265,somalia,yes,neutral,no,2
266,somalia,yes,yes,no,1
267,somalia,yes,neutral,no,2
268,somalia,yes,yes,no,1
269,somalia,yes,yes,no,0
270,somalia,yes,neutral,no,3
271,somalia,yes,yes,no,0
272,somalia,yes,yes,no,0
273,somalia,yes,neutral,no,2
274,somalia,yes,neutral,no,3
275,serbia,yes,neutral,no,3
276,serbia,yes,yes,no,1
277,serbia,yes,yes,no,1
278,serbia,yes,yes,no,1
279,serbia,yes,yes,no,1
280,serbia,yes,yes,no,1
281,serbia,yes,yes,no,1
282,serbia,yes,yes,no,0
283,serbia,yes,neutral,no,0
284,serbia,yes,yes,no,3
285,serbia,yes,yes,no,1
286,serbia,yes,yes,no,1
287,sweden,yes,neutral,no,3
288,sweden,yes,yes,no,1
289,sweden,yes,neutral,no,2
290,sweden,yes,yes,no,1
291,sweden,yes,neutral,no,3
292,sweden,yes,yes,no,0
293,sweden,yes,yes,no,0
294,sweden,yes,yes,no,1
295,sweden,yes,neutral,no,0
296,sweden,yes,yes,no,0
297,sweden,yes,yes,no,1
298,sweden,yes,yes,no,1
299,south_korea,yes,yes,no,1
300,south_korea,yes,yes,no,1
301,south_korea,yes,yes,no,2
302,south_korea,yes,yes,no,0
303,south_korea,yes,yes,no,1
304,south_korea,yes,yes,no,1
305,south_korea,yes,yes,no,2
306,south_korea,yes,yes,no,1
307,south_korea,yes,neutral,no,2
308,myanmar,yes,yes,no,0
309,myanmar,yes,neutral,no,2
310,myanmar,yes,yes,no,1
311,myanmar,yes,yes,no,1
312,myanmar,yes,yes,no,1
313,myanmar,yes,yes,no,1
314,myanmar,yes,neutral,no,2
315,myanmar,yes,yes,no,1
316,myanmar,yes,neutral,no,3
317,myanmar,yes,yes,no,1
318,myanmar,yes,yes,no,1
319,myanmar,yes,neutral,no,2
320,myanmar,yes,yes,no,0
321,myanmar,yes,neutral,no,2
322,myanmar,yes,neutral,no,0
323,malta,yes,neutral,no,3
324,malta,yes,yes,no,1
325,malta,yes,yes,no,1
326,malta,yes,yes,no,1
327,malta,yes,yes,no,1
328,malta,yes,yes,no,1
329,malta,yes,yes,no,2
330,malta,yes,yes,no,1
331,malta,yes,neutral,no,3
332,malta,yes,neutral,no,3
333,malta,yes,yes,no,1
334,malta,yes,yes,no,1
335,china,yes,yes,no,1
336,china,yes,yes,no,1
337,china,yes,yes,no,1
338,china,yes,neutral,no,2
339,china,yes,yes,no,1
340,china,yes,neutral,no,2
341,china,yes,yes,no,1
342,china,yes,yes,no,2
343,china,yes,yes,no,2
344,china,yes,yes,no,1
345,china,yes,yes,no,1
346,china,yes,yes,no,1
347,germany,yes,yes,no,1
348,germany,yes,yes,no,1
349,germany,yes,yes,no,1
350,germany,yes,yes,no,1
351,germany,yes,yes,no,1
352,germany,yes,yes,no,1
353,germany,yes,yes,no,0
354,germany,yes,yes,no,0
355,germany,yes,neutral,no,3
356,germany,yes,yes,no,2
357,germany,yes,yes,no,1
358,germany,yes,yes,no,1
359,germany,yes,neutral,no,3
360,germany,yes,neutral,no,3
361,germany,yes,neutral,no,3
362,ukraine,yes,yes,no,1
363,ukraine,yes,yes,no,0
364,ukraine,yes,neutral,no,3
365,ukraine,yes,yes,no,1
366,ukraine,yes,yes,no,0
367,ukraine,yes,yes,no,1
368,ukraine,yes,yes,no,1
369,ukraine,yes,neutral,no,2
370,ukraine,yes,yes,no,0
371,ukraine,yes,yes,no,1
372,ukraine,yes,yes,no,1
373,ukraine,yes,yes,no,2
374,ukraine,yes,neutral,no,3
375,ukraine,yes,yes,no,0
376,ukraine,yes,yes,no,1
377,romania,yes,yes,no,1
378,romania,yes,yes,no,1
379,romania,yes,yes,no,1
380,romania,yes,yes,no,1
381,romania,yes,no,no,1
382,romania,yes,yes,no,1
383,romania,yes,yes,no,1
384,romania,yes,yes,no,1
385,romania,yes,yes,no,1
386,romania,yes,yes,no,1
387,romania,yes,yes,no,1
388,romania,yes,yes,no,2
389,russia,yes,yes,no,1
390,russia,yes,yes,no,1
391,russia,yes,yes,no,1
392,russia,yes,yes,no,1
393,russia,yes,yes,no,1
394,russia,yes,neutral,no,1
395,russia,yes,yes,no,1
396,russia,yes,yes,no,1
397,russia,yes,yes,no,1
398,russia,yes,no,no,2
399,russia,yes,yes,no,3
400,russia,yes,yes,no,1
401,nepal,yes,neutral,no,2
402,nepal,yes,yes,no,1
403,nepal,yes,yes,no,1
404,nepal,yes,yes,no,2
405,nepal,yes,yes,no,1
406,nepal,yes,yes,no,1
407,nepal,yes,yes,no,1
408,nepal,yes,yes,no,1
409,nepal,yes,neutral,no,3
410,nepal,yes,yes,no,1
411,nepal,yes,yes,no,1
412,nepal,yes,yes,no,1
413,bangladesh,yes,yes,no,1
414,bangladesh,yes,yes,no,1
415,bangladesh,yes,yes,no,1
416,bangladesh,yes,neutral,no,3
417,bangladesh,yes,neutral,no,3
418,bangladesh,yes,neutral,no,3
419,bangladesh,yes,yes,no,1
420,bangladesh,yes,yes,no,1
421,bangladesh,yes,yes,no,1
422,bangladesh,yes,neutral,no,3
423,bangladesh,yes,no,no,2
424,bangladesh,yes,yes,no,2
425,portugal,yes,yes,no,1
426,portugal,yes,yes,no,1
427,portugal,yes,neutral,no,2
428,portugal,yes,yes,no,1
429,portugal,yes,neutral,no,1
430,portugal,yes,neutral,no,3
431,portugal,yes,yes,no,1
432,portugal,yes,no,no,3
433,portugal,yes,yes,no,1
434,portugal,yes,yes,no,1
435,portugal,yes,yes,no,2
436,portugal,yes,yes,no,1
437,thailand,yes,yes,no,1
438,thailand,yes,yes,no,1
439,thailand,yes,yes,no,1
440,thailand,yes,yes,no,1
441,thailand,yes,yes,no,1
442,thailand,yes,yes,no,1
443,thailand,yes,yes,no,1
444,thailand,yes,yes,no,1
445,thailand,yes,yes,no,2
446,thailand,yes,neutral,no,3
447,thailand,yes,yes,no,1
448,thailand,yes,yes,no,1
449,france,yes,neutral,no,3
450,france,yes,yes,no,1
451,france,yes,no,no,3
452,france,yes,yes,no,1
453,france,yes,yes,no,1
454,france,yes,yes,no,1
455,france,yes,yes,no,0
456,france,yes,yes,no,1
457,france,yes,yes,no,0
458,france,yes,yes,no,0
459,france,yes,yes,no,0
460,france,yes,yes,no,1
461,ireland,yes,neutral,no,3
462,ireland,yes,no,no,2
463,ireland,yes,neutral,no,3
464,ireland,yes,yes,no,1
465,ireland,yes,no,no,2
466,ireland,yes,yes,no,1
467,ireland,yes,yes,no,1
468,ireland,yes,yes,no,2
469,ireland,yes,yes,no,2
470,ireland,yes,yes,no,1
471,ireland,yes,yes,no,1
472,ireland,yes,yes,no,1
473,ireland,yes,yes,no,1
474,ireland,yes,yes,no,0
475,ireland,yes,yes,no,1
476,croatia,yes,yes,no,1
477,croatia,yes,yes,no,1
478,croatia,yes,yes,no,1
479,croatia,yes,yes,no,1
480,croatia,yes,yes,no,1
481,croatia,yes,yes,no,1
482,croatia,yes,yes,no,1
483,croatia,yes,yes,no,1
484,croatia,yes,yes,no,1
485,croatia,yes,yes,no,1
486,croatia,yes,neutral,no,3
487,croatia,yes,yes,no,1
488,mauritius,yes,yes,no,1
489,mauritius,yes,yes,no,1
490,mauritius,yes,yes,no,2
491,mauritius,yes,yes,no,1
492,mauritius,yes,yes,no,1
493,mauritius,yes,yes,no,2
494,mauritius,yes,yes,no,2
495,mauritius,yes,yes,no,1
496,mauritius,yes,neutral,no,3
497,mauritius,yes,neutral,no,3
498,mauritius,yes,neutral,no,3
499,mauritius,yes,neutral,no,3
500,fiji,yes,yes,no,1
501,fiji,yes,yes,no,0
502,fiji,yes,neutral,no,2
503,fiji,yes,yes,no,1
